id,day_number,question_zh,question_ja,created_at
1,1,你最近沉迷于什么？,,2025-12-30 12:22:06.075528+00
2,2,今天你都联系过谁？,,2025-12-30 12:22:06.204347+00
3,3,用三个词来描述一下今天发生的事。,,2025-12-30 12:22:06.298296+00
4,4,你喜欢什么运动？,,2025-12-30 12:22:06.424526+00
5,5,你今天买的最贵的东西是什么？,,2025-12-30 12:22:06.546272+00
6,6,你现在最想去的地方是哪里？,,2025-12-30 12:22:06.655129+00
7,7,如果能够实现一个愿望，你想干什么？,,2025-12-30 12:22:06.762956+00
8,8,你喜欢什么颜色？,,2025-12-30 12:22:06.865688+00
9,9,你相信算命吗？,,2025-12-30 12:22:06.976838+00
10,10,你有什么爱好？,,2025-12-30 12:22:07.089695+00
11,11,现在你的眼前有什么？,,2025-12-30 12:22:07.204777+00
12,12,你最喜欢星期几？,,2025-12-30 12:22:07.303634+00
13,13,你最近看了什么书？,,2025-12-30 12:22:07.408007+00
14,14,你休息日经常做什么？,,2025-12-30 12:22:07.518977+00
15,15,你早上起来首先会做什么？,,2025-12-30 12:22:07.651969+00
16,16,你喜欢吃辣的吗？,,2025-12-30 12:22:07.783979+00
17,17,你心情不好的时候会怎么解决？,,2025-12-30 12:22:07.905569+00
18,18,你最喜欢哪个季节？,,2025-12-30 12:22:08.009729+00
19,19,你现在最想跟谁聊天？,,2025-12-30 12:22:08.1272+00
20,20,你中午吃了什么？,,2025-12-30 12:22:08.239594+00
21,21,今天最让你吃惊的事情是什么？,,2025-12-30 12:22:08.349484+00
22,22,你是晨型人还是夜型人？,,2025-12-30 12:22:08.442236+00
23,23,你最近看过什么电影？,,2025-12-30 12:22:08.574812+00
24,24,你家冰箱里都有什么？,,2025-12-30 12:22:08.668913+00
25,25,你什么时候会感到幸福？,,2025-12-30 12:22:08.779156+00
26,26,你今天穿带的东西里什么最贵？,,2025-12-30 12:22:08.896781+00
27,27,说说你今天都做了些什么？,,2025-12-30 12:22:09.014749+00
28,28,你最喜欢的餐厅是哪一家？,,2025-12-30 12:22:09.122546+00
29,29,你今天用了什么交通工具？,,2025-12-30 12:22:09.215741+00
30,30,你的身体现在哪里感到最疲劳？,,2025-12-30 12:22:09.306702+00
31,31,现在你钱包里有多少现金？,,2025-12-30 12:22:09.40323+00
32,32,你最近点过外卖吗？,,2025-12-30 12:22:09.489832+00
33,33,你喜欢喝酒吗？,,2025-12-30 12:22:09.592991+00
34,34,你是左撇子还是右撇子？,,2025-12-30 12:22:09.70682+00
