id,question_id,term,answer_zh,intended_ja,bluesky_uri,posted_at,created_at,draft_zh,correction_note,scheduled_at
1,1,1,我最近沉迷于学园偶像大师。偶像们都很可爱，而且故事和游戏都很有趣。我的推是花海咲季！,学マスにハマっています。アイドル達がみんな可愛くて、ストーリーが好みでゲームが楽しいです。推しは花海咲季です！,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3leor6o7omk2l,2025-01-01 14:23:14.834+00,2025-12-30 12:22:20.481174+00,,,
2,2,1,"我给弟弟发了LINE。
今天是他的生日，所以我送了礼物。他看起来好像很忙，我希望他身体健康。",弟にLINEしました。今日は彼の誕生日だったので、プレゼントを送りました。忙しそうなので、身体に気をつけてほしいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3ler5wsnthc2o,2025-01-02 13:16:49.177+00,2025-12-30 12:22:20.601548+00,,,
3,3,1,"家族，正月，寿司。
因为是正月，亲戚都会过来，吃了寿司。
真是热闹又有趣。","家族、正月、寿司。
お正月なので、親戚と集まってお寿司を食べました。賑やかで楽しかったです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3letr4uicks25,2025-01-03 14:05:32.991+00,2025-12-30 12:22:20.716135+00,,,
4,4,1,"我喜欢FitBoxing。
在家就能运动出汗。
对肩膀酸痛很有效。","フィットボクシングが好きです。
家から出ないでたくさん汗をかけます。
肩こりにも効きます。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3levqwnrq7k2p,2025-01-04 09:07:24.111+00,2025-12-30 12:22:20.823817+00,,,
5,5,1,"我买了一本书。
书名是《解剖学的历史》。
很期待收到。","本を買いました。
解剖学の歴史という本です。
届くのが楽しみです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3leynhakny22t,2025-01-05 12:43:04.92+00,2025-12-30 12:22:20.932906+00,,,
6,6,1,"我的家。
在家最让我感到安心。
上班的时候，总是想着回家。","自宅です。
自分の家が一番安心します。
出勤するとき、ずっと家に帰りたいと思っています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lf35z3sccc2n,2025-01-06 12:44:43.254+00,2025-12-30 12:22:21.055082+00,,,
7,7,1,"我想休息。
即使在连休，也会想到工作。
希望至少有一年能过自由自在的生活。","休みたいです。
連休中でも仕事のことを考えてしまいます。
少なくとも一年は自由にすごしたいです。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lf5xwq6ubc26,2025-01-07 15:34:00.737+00,2025-12-30 12:22:21.155043+00,,,
8,8,1,"我一直喜欢蓝色。
因为是漂亮又安静的颜色。
我的东西大部分都是蓝色或深蓝色。","ずっと青が好きです。
綺麗で落ち着く色だからです。
持ち物はだいたい青か紺です。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfa2ngv2ns2r,2025-01-08 11:27:49.691+00,2025-12-30 12:22:21.258816+00,,,
9,9,1,"不太相信。
我觉得这像是模糊的统计。
因为想保持开心，所以只相信好的预言。","あまり信じていません。
曖昧な統計のようなものと思っています。
でも嬉しいので、いいことだけ信じることにしています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lfczrgtyhs2p,2025-01-09 15:50:09.347+00,2025-12-30 12:22:21.352857+00,,,
10,10,1,"玩游戏是我的爱好。
我喜欢精灵宝可梦和喷射战士。
最近只玩学园偶像大师。","ゲームが趣味です。
ポケモンやスプラが好きです。
最近は学園アイドルマスターばかりやっています。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3lffe24huoc2p,2025-01-10 13:59:17.348+00,2025-12-30 12:22:21.438632+00,,,
